Datensatz-ID,Unternehmensname,Domainname des Unternehmens,Stadt,Country,Adresszeile,Branche
49395340833,Astea S.p.a.,asteaspa.it,Recanati,Italy,"Via L. GIGLI, 2",
49298020913,Badano Gas S.r.l.,gruppobadano.com,Giustenice,Italy,Località Cà di Lodi snc,
49455748643,C.O.Gas S.r.l.,cogas.net,Ortona,Italy,Zona Industriale Contrada cucullo snc,
49477392403,Alpha Gas S.r.l.,alphagasbadano.it,Vado Ligure,Italy,Via Piave 33,
49475498348,Umbria Distribuzione Gas S.p.a.,umbriadistribuzionegas.it,Terni,Italy,Via Bruno Capponi 100,
49475485748,Adistribuzionegas S.r.l.,adistribuzionegas.it,Forlì,Italy,Via Luigi Galvani 17/A,
49391931416,Centria,centria.it,Arezzo,Italy,Via Igino Cocchi 14,
49377325405,E.T. Energia E Territorio Servizi Tecnologici S.r.l.,etservizitecnologici.it,Maiolati Spontini,Italy,Via Via Ancona - Moie 57,Maschinenbau oder Industrietechnik
49478196737,Unareti S.p.a.,unareti.it,Brescia,Italy,Via Lamarmora 230,
49475314360,Italgas Reti S.p.a.,italgas.it,Torino,Italy,Largo Regio Parco 11,
49454388637,Toscana Energia S.p.a.,toscanaenergia.eu,Firenze,Italy,Piazza Enrico Mattei 3,
49396043897,Vus Gpl S.r.l.,vus.it,Foligno,Italy,Via Viale IV novembre 20,
49370825796,Gestione Servizi Comunali S.r.l. In Forma Abbreviata Ge.S.Com. S.r.l.,gescomsrl.it,Bisaccia,Italy,Via Rodari 1,
49472658861,Lunigas I.F.S.p.a.,lunigas.it,Fosdinovo,Italy,Via Aurelia 44,
49446532230,Servizi Distribuzione S.r.l.,servizidistribuzione.it,Spinetoli,Italy,Piazza KENNEDY 5,
49447369054,Martesana Reti S.r.l.,martesanareti.it,Melzo,Italy,Via Martiri della Libertà 18,
49399142708,Cilento Reti Gas S.r.l.,cilentoretigas.it,Acquaviva delle Fonti,Italy,Via Sardegna -  Zona Industriale s.n.,Maschinenbau oder Industrietechnik
49394073688,Metaedil S.r.l.,metaedil.it,Avellino,Italy,Via Francesco Tedesco 61,Maschinenbau
49371792641,A.S.A. - Azienda Servizi Ambientali S.p.a.,asaspa.it,Livorno,Italy,Via del Gazometro 9,
49479048307,Petrolgas S.r.l.,petrolgassrl.it,Maiolati Spontini,Italy,Via Clementina nord 118,Öl & Energie
49475482297,Azienda Servizi Intercomunali Multiservices S.r.l.,asimultiservices.it,Umbertide,Italy,Via Piazza Matteotti 1,
49440801619,Gesam Reti S.p.a.,gesam.it,Lucca,Italy,Via NOTTOLINI 34,
49479049526,Coop. Pomilia Gas S.C.R.L.,pomiliagas.it,Pomigliano d'Arco,Italy,Via CARMINE GUADAGNO 85,
49475313180,Entar S.r.l.,entar.it,Zocca,Italy,Via MAURO TESI 963,
49308061099,G.E.I. Gestione Energetica Impianti S.p.a.,geispa.it,Crema,Italy,Via S. Chiara 9,
49475491419,Acqui Rete Gas S.r.l.,acquiretegas.it,Alba,Italy,Via VIVARO 4/B,
49475503279,Ranton S.r.l.,ranton.it,Pescara,Italy,Via Trieste 88,
49475473437,Protos S.r.l.,protos.it,Fermo,Italy,Via Vecchiotti 20,
49440377194,Ausa Multiservizi S.r.l.,cervignanodelfriuli.net,Cervignano del Friuli,Italy,Via Trieste 52,
49423155743,Caronno Pertusella Servizi S.r.l. Unipersonale,cpserv.it,Caronno Pertusella,Italy,Piazza VITTORIO VENETO 6,
49306205990,Amea S.p.a.,amea.it,Paliano,Italy,Viale San Francesco d'Assisi 15/C,
49479067041,Asm Vercelli S.p.a.,asmvercelli.it,Vercelli,Italy,Corso PALESTRO 130,
49475499796,Broni-Stradella Pubblica S.r.l.,bronistradellapubblica.it,Stradella,Italy,Via NAZIONALE 53,
49420784421,Olivi S.p.a.,olivispa.com,Panicale,Italy,Via LEONARDO DA VINCI 19,
49371792640,Molise Gestioni S.r.l.,molisegestioni.it,Roncadelle,Italy,Via Vittorio Emanuele II 4/28,
49475486862,Liquigas S.p.a.,liquigas.it,Brescia,Italy,Corso Zanardelli 32,
49441954710,Toscogas S.p.a.,toscogas.it,Altopascio,Italy,Via Località Ponte alla Ciliegia 14,
49433190222,Soldo Francesco S.r.l.,soldofrancescoretegas.it,Salandra,Italy,Piazza San Rocco 5,
42521036647,Società Gasdotti Italia,sgispa.com,,Italy,,
30092336666,Italgas Reti S.p.A.,italgas.it,Torino,Italy,Corso Regina Margherita 165,
35252382631,Snam,snam.it,Milano,Italy,"Piazza Santa Barbara, 7",
